submercado,mes,mw_acumulado
N,2022-01,699.731
N,2022-02,742.93
N,2022-03,794.284
N,2022-04,838.796
N,2022-05,886.531
N,2022-06,934.523
N,2022-07,986.232
N,2022-08,1033.82
N,2022-09,1092.396
N,2022-10,1141.997
N,2022-11,1204.413
N,2022-12,1287.563
N,2023-01,1381.751
N,2023-02,1464.476
N,2023-03,1553.535
N,2023-04,1612.586
N,2023-05,1677.419
N,2023-06,1720.57
N,2023-07,1764.826
N,2023-08,1813.973
N,2023-09,1858.952
N,2023-10,1915.1
N,2023-11,1979.158
N,2023-12,2045.772
N,2024-01,2117.418
N,2024-02,2180.459
N,2024-03,2246.53
N,2024-04,2317.558
N,2024-05,2382.441
N,2024-06,2449.615
N,2024-07,2544.74
N,2024-08,2628.363
N,2024-09,2699.634
N,2024-10,2800.013
N,2024-11,2882.46
N,2024-12,2978.147
N,2025-01,3072.646
N,2025-02,3150.128
N,2025-03,3223.181
N,2025-04,3294.603
N,2025-05,3357.671
N,2025-06,3415.289
N,2025-07,3492.307
N,2025-08,3564.928
N,2025-09,3644.305
N,2025-10,3741.596
N,2025-11,3820.055
N,2025-12,3896.432
N,2026-01,3974.403
N,2026-02,4031.164
N,2026-03,4094.869
N,2026-04,4152.942
N,2026-05,4202.907
N,2026-06,4232.681
N,2026-07,4252.701
N,2026-08,4269.011
NE,2022-01,1630.789
NE,2022-02,1727.191
NE,2022-03,1828.427
NE,2022-04,1925.623
NE,2022-05,2035.422
NE,2022-06,2149.442
NE,2022-07,2271.907
NE,2022-08,2401.702
NE,2022-09,2520.02
NE,2022-10,2643.648
NE,2022-11,2768.709
NE,2022-12,2943.522
NE,2023-01,3139.29
NE,2023-02,3322.671
NE,2023-03,3510.984
NE,2023-04,3646.204
NE,2023-05,3798.746
NE,2023-06,3904.104
NE,2023-07,4005.461
NE,2023-08,4117.836
NE,2023-09,4214.479
NE,2023-10,4328.857
NE,2023-11,4445.938
NE,2023-12,4576.797
NE,2024-01,4734.131
NE,2024-02,4876.1
NE,2024-03,5039.164
NE,2024-04,5211.112
NE,2024-05,5385.139
NE,2024-06,5546.862
NE,2024-07,5739.213
NE,2024-08,5943.048
NE,2024-09,6114.591
NE,2024-10,6291.879
NE,2024-11,6475.517
NE,2024-12,6683.095
NE,2025-01,6900.072
NE,2025-02,7112.734
NE,2025-03,7290.318
NE,2025-04,7462.124
NE,2025-05,7632.589
NE,2025-06,7798.014
NE,2025-07,7988.651
NE,2025-08,8157.157
NE,2025-09,8319.93
NE,2025-10,8482.656
NE,2025-11,8644.809
NE,2025-12,8818.775
NE,2026-01,9020.719
NE,2026-02,9180.492
NE,2026-03,9385.96
NE,2026-04,9573.334
NE,2026-05,9725.842
NE,2026-06,9863.289
NE,2026-07,9902.691
NE,2026-08,9902.723
S,2022-01,4251.297
S,2022-02,4441.666
S,2022-03,4682.849
S,2022-04,4907.464
S,2022-05,5148.199
S,2022-06,5364.769
S,2022-07,5578.726
S,2022-08,5806.186
S,2022-09,6092.304
S,2022-10,6287.341
S,2022-11,6522.893
S,2022-12,6863.529
S,2023-01,7101.747
S,2023-02,7302.438
S,2023-03,7539.098
S,2023-04,7711.835
S,2023-05,7904.317
S,2023-06,8002.75
S,2023-07,8096.203
S,2023-08,8191.442
S,2023-09,8287.398
S,2023-10,8402.796
S,2023-11,8514.154
S,2023-12,8647.562
S,2024-01,8789.971
S,2024-02,8930.023
